VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee
2,2023-01-16 18:09:46,2023-01-16 18:17:40,1.0,1.94,1.0,N,246,142,1,10.7,0.0,0.5,2.0,0.0,1.0,16.7,2.5,0.0
2,2023-01-06 04:55:52,2023-01-06 05:07:26,1.0,3.73,1.0,N,233,211,1,17.7,1.0,0.5,6.0,0.0,1.0,28.7,2.5,0.0
2,2023-01-12 15:03:29,2023-01-12 16:18:00,4.0,36.16,3.0,N,132,1,2,153.2,0.0,0.0,0.0,21.3,1.0,176.75,0.0,1.25
1,2023-01-13 09:53:04,2023-01-13 10:05:03,1.0,1.0,1.0,N,262,236,1,10.7,2.5,0.5,2.2,0.0,1.0,16.9,2.5,0.0
1,2023-01-08 01:06:36,2023-01-08 01:17:56,0.0,3.6,1.0,N,141,41,1,17.0,3.5,0.5,1.0,0.0,1.0,23.0,2.5,0.0
1,2023-01-19 08:20:53,2023-01-19 08:30:15,2.0,1.8,1.0,N,107,114,1,11.4,2.5,0.5,3.05,0.0,1.0,18.45,2.5,0.0
2,2023-01-02 12:08:16,2023-01-02 12:19:11,1.0,1.77,1.0,N,237,186,2,12.1,0.0,0.5,0.0,0.0,1.0,16.1,2.5,0.0
1,2023-01-24 21:55:40,2023-01-24 22:07:52,1.0,2.2,1.0,N,100,79,1,13.5,3.5,0.5,1.0,0.0,1.0,19.5,2.5,0.0
1,2023-01-11 12:53:09,2023-01-11 13:02:17,1.0,1.2,1.0,N,113,170,1,9.3,2.5,0.5,1.0,0.0,1.0,14.3,2.5,0.0
2,2023-01-26 10:46:03,2023-01-26 10:59:23,1.0,1.68,1.0,N,161,239,2,13.5,0.0,0.5,0.0,0.0,1.0,17.5,2.5,0.0
1,2023-01-07 11:43:04,2023-01-07 11:45:50,1.0,0.7,1.0,N,233,137,1,5.1,2.5,0.5,2.0,0.0,1.0,11.1,2.5,0.0
